event_id,shipment_id,event_type,cause,severity,timestamp,duration_hours
1,1,supplier_failure,capacity_shortage,high,2024-05-23 19:40:02,39.41
2,1,port_congestion,equipment_failure,high,2024-05-24 13:17:48,43.06
3,2,port_congestion,equipment_failure,high,2025-11-13 20:33:07,19.87
4,3,transport_delay,border_delay,high,2025-02-14 06:05:06,31.67
5,3,transport_delay,road_closure,high,2025-02-15 01:22:13,64.81
6,3,transport_delay,border_delay,high,2025-02-15 12:02:03,84.75
7,4,transport_delay,road_closure,high,2023-04-19 08:43:09,26.2
8,4,supplier_failure,production_halt,high,2023-04-21 20:40:09,40.35
9,5,transport_delay,vehicle_breakdown,low,2023-02-13 04:02:34,2.15
10,7,weather_disruption,hurricane,high,2023-07-26 00:47:19,40.98
11,7,port_congestion,labor_strike,high,2023-07-27 18:43:46,21.24
12,10,transport_delay,road_closure,high,2024-06-24 23:25:15,12.18
13,10,weather_disruption,fog,high,2024-06-25 12:16:40,29.16
14,10,weather_disruption,blizzard,high,2024-06-27 11:13:15,21.64
15,10,port_congestion,equipment_failure,high,2024-06-27 22:36:34,4.95
16,10,weather_disruption,blizzard,high,2024-06-29 00:12:33,38.51
17,10,weather_disruption,flooding,high,2024-07-01 06:59:07,106.09
18,12,weather_disruption,fog,medium,2023-11-21 15:55:13,20.36
19,12,supplier_failure,production_halt,medium,2023-11-22 04:27:11,4.46
20,17,port_congestion,labor_strike,low,2025-03-28 00:41:37,5.76
21,17,port_congestion,high_demand,low,2025-03-28 00:42:39,3.57
22,17,transport_delay,fuel_shortage,low,2025-03-28 08:49:15,6.17
23,17,port_congestion,high_demand,low,2025-03-28 10:59:27,3.72
24,18,supplier_failure,quality_issue,medium,2025-05-17 17:49:38,10.06
25,21,weather_disruption,severe_storm,medium,2023-02-07 08:54:26,6.13
26,21,weather_disruption,flooding,medium,2023-02-07 12:24:08,12.86
27,24,transport_delay,vehicle_breakdown,medium,2023-12-12 02:07:19,15.89
28,25,port_congestion,labor_strike,medium,2023-07-01 12:51:17,10.47
29,25,transport_delay,vehicle_breakdown,medium,2023-07-02 04:07:05,19.42
30,28,weather_disruption,blizzard,medium,2024-09-28 02:56:07,11.67
31,28,port_congestion,high_demand,medium,2024-09-28 08:29:28,18.88
32,35,transport_delay,fuel_shortage,high,2024-12-08 02:35:46,21.13
33,35,port_congestion,labor_strike,high,2024-12-10 00:21:28,47.5
34,35,transport_delay,fuel_shortage,high,2024-12-11 18:09:26,64.67
35,39,transport_delay,border_delay,medium,2025-07-13 04:42:57,7.75
36,40,supplier_failure,bankruptcy,high,2025-03-13 00:46:44,41.68
37,42,supplier_failure,capacity_shortage,medium,2023-05-09 06:40:35,10.29
38,42,weather_disruption,severe_storm,medium,2023-05-09 18:06:13,4.6
39,42,transport_delay,fuel_shortage,medium,2023-05-10 11:34:43,6.74
40,46,port_congestion,high_demand,medium,2024-11-29 09:10:55,30.04
41,47,transport_delay,road_closure,high,2023-06-17 04:15:52,18.1
42,47,transport_delay,border_delay,high,2023-06-17 12:18:27,40.82
43,47,supplier_failure,production_halt,high,2023-06-17 12:42:06,200.0
44,47,transport_delay,road_closure,high,2023-06-20 05:57:26,37.46
45,47,supplier_failure,quality_issue,high,2023-06-21 06:37:59,46.26
46,49,port_congestion,inspection_backlog,high,2025-11-27 10:50:34,48.97
47,52,port_congestion,labor_strike,low,2024-03-17 08:22:56,9.76
48,53,port_congestion,inspection_backlog,low,2023-05-28 06:19:13,1.81
49,54,transport_delay,vehicle_breakdown,low,2023-05-09 01:43:00,3.45
50,56,supplier_failure,capacity_shortage,low,2023-07-22 03:47:54,4.46
51,56,weather_disruption,severe_storm,low,2023-07-22 04:18:19,2.88
52,56,transport_delay,road_closure,low,2023-07-22 05:41:24,5.75
53,57,port_congestion,labor_strike,low,2025-03-30 05:03:17,4.48
54,57,supplier_failure,quality_issue,low,2025-03-30 11:34:34,2.78
55,57,supplier_failure,production_halt,low,2025-03-30 14:49:35,3.03
