shipment_id,weather_severity,traffic_level,supplier_risk,congestion_level,risk_score,delayed,delay_hours
1,1,1,0.0437,0.5994,0.293,1,86.04
2,1,1,0.3294,0.6291,0.3861,1,90.66
3,0,4,0.3294,0.8764,0.4379,1,90.59
4,1,2,0.3266,0.5383,0.3926,1,74.91
5,0,4,0.2082,0.4536,0.2959,1,13.13
6,0,2,0.2878,0.611,0.2991,0,2.43
7,3,2,0.2562,0.6084,0.589,1,78.29
8,0,3,0.2853,0.6543,0.3392,0,2.76
9,0,3,0.1206,0.2701,0.1937,0,2.32
10,2,1,0.2301,0.6575,0.4634,1,216.26
11,2,5,0.0399,0.7782,0.5565,0,2.22
12,2,2,0.1577,0.5851,0.4536,1,30.39
13,1,1,0.0719,0.6155,0.3054,0,1.38
14,0,1,0.2082,0.6267,0.2491,0,1.23
15,0,5,0.1051,0.3187,0.2612,0,2.07
16,2,3,0.4038,0.3683,0.5032,0,2.76
17,0,1,0.299,0.7616,0.3101,1,16.05
18,1,3,0.2771,0.5922,0.4212,1,28.06
19,0,1,0.1012,0.4761,0.1794,0,2.71
20,0,1,0.5395,0.5534,0.3302,0,1.23
21,1,4,0.1768,0.3708,0.3657,1,43.24
22,0,1,0.1476,0.1878,0.1212,0,2.58
23,0,2,0.1051,0.2929,0.1648,0,2.15
24,0,5,0.1382,0.6324,0.3496,1,57.73
25,0,3,0.5295,0.601,0.3991,1,43.89
26,0,4,0.1502,0.3585,0.2547,0,1.98
27,0,2,0.299,0.5401,0.2847,0,1.87
28,1,5,0.5395,0.4265,0.5185,1,25.76
29,1,2,0.1502,0.5063,0.3316,0,2.05
30,1,3,0.183,0.5395,0.3798,0,3.27
31,0,1,0.2853,0.4674,0.2324,0,2.46
32,1,1,0.1577,0.3407,0.2625,0,1.2
33,1,1,0.1674,0.4336,0.2886,0,2.65
34,0,4,0.1094,0.5948,0.3015,0,2.91
35,1,4,0.3294,0.266,0.3853,1,95.07
36,1,2,0.1206,0.4256,0.3026,0,1.68
37,0,4,0.0465,0.5786,0.2786,0,2.88
38,0,3,0.1757,0.5221,0.2732,0,3.55
39,2,1,0.5295,0.325,0.4701,1,26.21
40,2,3,0.1757,0.4535,0.4561,1,147.87
41,1,4,0.2906,0.373,0.4004,0,2.54
42,0,5,0.2727,0.3404,0.3169,1,45.02
43,0,3,0.1012,0.5813,0.2657,0,3.17
44,0,2,0.163,0.2665,0.1755,0,3.95
45,0,2,0.1211,0.6557,0.2603,0,2.26
46,0,4,0.1674,0.7325,0.3533,1,26.93
47,2,4,0.1476,0.2521,0.4273,1,103.92
48,2,4,0.0911,0.4828,0.468,0,2.01
49,1,5,0.1476,0.3966,0.3934,1,101.64
50,0,5,0.1166,0.5403,0.3201,0,1.4
51,0,1,0.2562,0.1815,0.1522,0,3.07
52,1,3,0.1051,0.3348,0.3052,1,19.57
53,0,3,0.0836,0.381,0.2103,1,16.93
54,1,3,0.1211,0.2198,0.2813,1,19.54
55,0,2,0.0399,0.2981,0.1465,0,2.5
56,0,3,0.335,0.3772,0.2848,1,22.0
57,1,2,0.5395,0.4409,0.4321,1,15.92
58,0,2,0.1012,0.4832,0.2112,0,2.94
59,1,3,0.0911,0.5131,0.3456,1,64.29
60,1,5,0.0399,0.4671,0.3787,1,134.84
61,1,3,0.335,0.6394,0.4503,1,40.25
62,1,4,0.183,0.5789,0.4196,0,1.89
63,1,5,0.3611,0.5921,0.5064,1,78.91
64,0,3,0.183,0.4834,0.2658,0,2.43
65,1,1,0.5395,0.5909,0.4396,0,4.0
66,0,2,0.1206,0.3452,0.1825,0,1.98
67,1,1,0.3611,0.7504,0.4259,1,45.42
68,0,2,0.1206,0.5835,0.2421,1,34.44
69,0,2,0.2562,0.0895,0.1592,1,45.34
70,0,4,0.2757,0.2392,0.2625,1,20.83
71,1,5,0.1012,0.4713,0.3982,1,55.53
72,0,4,0.3611,0.3426,0.314,1,30.0
73,0,3,0.0911,0.4385,0.227,0,1.28
74,0,4,0.299,0.2779,0.2792,1,34.05
75,2,2,0.0399,0.6541,0.4355,1,156.96
