port_id,location,date,congestion_level,queue_time_hours
1,Shanghai,2023-01-01,0.1928,5.51
1,Shanghai,2023-01-02,0.2082,0.7
1,Shanghai,2023-01-03,0.1893,2.16
1,Shanghai,2023-01-04,0.2505,1.33
1,Shanghai,2023-01-05,0.3163,2.41
1,Shanghai,2023-01-06,0.3434,0.92
1,Shanghai,2023-01-07,0.3335,0.64
1,Shanghai,2023-01-08,0.2851,5.11
1,Shanghai,2023-01-09,0.3509,1.2
1,Shanghai,2023-01-10,0.414,0.78
1,Shanghai,2023-01-11,0.3879,2.15
1,Shanghai,2023-01-12,0.4683,5.16
1,Shanghai,2023-01-13,0.4433,8.97
1,Shanghai,2023-01-14,0.4065,5.57
1,Shanghai,2023-01-15,0.4124,16.34
1,Shanghai,2023-01-16,0.4763,1.55
1,Shanghai,2023-01-17,0.4683,0.41
1,Shanghai,2023-01-18,0.492,3.61
1,Shanghai,2023-01-19,0.5104,4.66
1,Shanghai,2023-01-20,0.6144,17.82
1,Shanghai,2023-01-21,0.609,10.16
1,Shanghai,2023-01-22,0.5801,4.28
1,Shanghai,2023-01-23,0.6386,1.28
1,Shanghai,2023-01-24,0.5193,2.07
1,Shanghai,2023-01-25,0.4386,9.51
1,Shanghai,2023-01-26,0.5039,1.33
1,Shanghai,2023-01-27,0.5051,27.06
1,Shanghai,2023-01-28,0.4606,4.2
1,Shanghai,2023-01-29,0.4957,0.89
1,Shanghai,2023-01-30,0.5324,3.78
1,Shanghai,2023-01-31,0.5898,0.29
1,Shanghai,2023-02-01,0.558,4.19
1,Shanghai,2023-02-02,0.6314,12.9
1,Shanghai,2023-02-03,0.6287,1.1
1,Shanghai,2023-02-04,0.673,6.21
1,Shanghai,2023-02-05,0.6615,1.97
1,Shanghai,2023-02-06,0.6371,7.67
1,Shanghai,2023-02-07,0.6203,2.95
1,Shanghai,2023-02-08,0.6164,8.19
1,Shanghai,2023-02-09,0.6007,0.23
1,Shanghai,2023-02-10,0.5758,16.19
1,Shanghai,2023-02-11,0.6568,13.13
1,Shanghai,2023-02-12,0.6567,1.13
1,Shanghai,2023-02-13,0.5498,41.15
1,Shanghai,2023-02-14,0.5602,2.13
1,Shanghai,2023-02-15,0.5875,1.56
1,Shanghai,2023-02-16,0.4609,4.13
1,Shanghai,2023-02-17,0.457,0.41
1,Shanghai,2023-02-18,0.5218,2.04
1,Shanghai,2023-02-19,0.5329,4.24
1,Shanghai,2023-02-20,0.5828,9.07
1,Shanghai,2023-02-21,0.505,7.42
1,Shanghai,2023-02-22,0.4572,6.0
1,Shanghai,2023-02-23,0.3849,6.26
1,Shanghai,2023-02-24,0.3196,0.18
1,Shanghai,2023-02-25,0.1918,0.23
1,Shanghai,2023-02-26,0.3579,10.53
1,Shanghai,2023-02-27,0.3754,0.82
1,Shanghai,2023-02-28,0.4114,0.89
1,Shanghai,2023-03-01,0.4937,2.08
1,Shanghai,2023-03-02,0.5076,13.26
1,Shanghai,2023-03-03,0.535,8.03
1,Shanghai,2023-03-04,0.5564,4.64
1,Shanghai,2023-03-05,0.6766,9.1
1,Shanghai,2023-03-06,0.7028,1.35
1,Shanghai,2023-03-07,0.595,3.8
1,Shanghai,2023-03-08,0.5218,16.45
1,Shanghai,2023-03-09,0.4663,8.61
1,Shanghai,2023-03-10,0.4924,6.54
1,Shanghai,2023-03-11,0.425,0.74
1,Shanghai,2023-03-12,0.4021,6.23
1,Shanghai,2023-03-13,0.4477,2.62
1,Shanghai,2023-03-14,0.5169,2.44
1,Shanghai,2023-03-15,0.4648,3.32
1,Shanghai,2023-03-16,0.5081,0.74
1,Shanghai,2023-03-17,0.5552,8.74
1,Shanghai,2023-03-18,0.5936,1.67
1,Shanghai,2023-03-19,0.4428,4.5
1,Shanghai,2023-03-20,0.3857,1.48
1,Shanghai,2023-03-21,0.3111,3.71
1,Shanghai,2023-03-22,0.4182,6.13
1,Shanghai,2023-03-23,0.3848,3.54
1,Shanghai,2023-03-24,0.3617,2.24
1,Shanghai,2023-03-25,0.3747,7.36
1,Shanghai,2023-03-26,0.5169,4.2
1,Shanghai,2023-03-27,0.5175,3.67
1,Shanghai,2023-03-28,0.479,1.06
1,Shanghai,2023-03-29,0.5425,8.13
1,Shanghai,2023-03-30,0.5554,2.9
1,Shanghai,2023-03-31,0.582,15.1
1,Shanghai,2023-04-01,0.5474,17.87
1,Shanghai,2023-04-02,0.5626,0.54
1,Shanghai,2023-04-03,0.4367,2.49
1,Shanghai,2023-04-04,0.464,7.57
1,Shanghai,2023-04-05,0.3963,0.7
1,Shanghai,2023-04-06,0.4996,13.63
1,Shanghai,2023-04-07,0.5956,4.53
1,Shanghai,2023-04-08,0.6333,6.5
1,Shanghai,2023-04-09,0.7395,4.77
1,Shanghai,2023-04-10,0.9135,21.17
1,Shanghai,2023-04-11,0.8668,5.29
1,Shanghai,2023-04-12,0.8283,3.73
1,Shanghai,2023-04-13,0.8354,15.39
1,Shanghai,2023-04-14,0.8654,11.73
1,Shanghai,2023-04-15,0.6817,1.09
1,Shanghai,2023-04-16,0.6463,2.47
1,Shanghai,2023-04-17,0.6175,10.29
1,Shanghai,2023-04-18,0.6308,10.45
1,Shanghai,2023-04-19,0.6449,5.73
1,Shanghai,2023-04-20,0.6311,1.5
1,Shanghai,2023-04-21,0.6061,18.55
1,Shanghai,2023-04-22,0.5634,4.79
1,Shanghai,2023-04-23,0.669,2.16
1,Shanghai,2023-04-24,0.5466,9.65
1,Shanghai,2023-04-25,0.7263,0.87
1,Shanghai,2023-04-26,0.8143,16.61
1,Shanghai,2023-04-27,0.7697,18.76
1,Shanghai,2023-04-28,0.8091,4.85
1,Shanghai,2023-04-29,0.7683,6.01
1,Shanghai,2023-04-30,0.729,0.6
1,Shanghai,2023-05-01,0.7174,2.19
1,Shanghai,2023-05-02,0.6541,5.96
1,Shanghai,2023-05-03,0.6813,23.84
1,Shanghai,2023-05-04,0.6106,5.94
1,Shanghai,2023-05-05,0.6342,6.95
1,Shanghai,2023-05-06,0.597,0.93
1,Shanghai,2023-05-07,0.7059,3.43
1,Shanghai,2023-05-08,0.7895,46.98
1,Shanghai,2023-05-09,0.7135,16.54
1,Shanghai,2023-05-10,0.7693,12.1
1,Shanghai,2023-05-11,0.7638,48.07
1,Shanghai,2023-05-12,0.8323,0.59
1,Shanghai,2023-05-13,0.8527,29.04
1,Shanghai,2023-05-14,0.7275,58.65
1,Shanghai,2023-05-15,0.7778,1.21
1,Shanghai,2023-05-16,0.7443,21.67
1,Shanghai,2023-05-17,0.835,18.39
1,Shanghai,2023-05-18,0.7424,2.12
1,Shanghai,2023-05-19,0.7899,6.23
1,Shanghai,2023-05-20,0.6857,12.8
1,Shanghai,2023-05-21,0.7973,7.14
1,Shanghai,2023-05-22,0.8398,74.52
1,Shanghai,2023-05-23,0.7713,18.34
1,Shanghai,2023-05-24,0.8292,13.3
1,Shanghai,2023-05-25,0.8996,47.25
1,Shanghai,2023-05-26,0.9099,10.29
1,Shanghai,2023-05-27,0.8525,6.31
