shipment_id,supplier_id,port_id,ship_date,expected_delivery_date,actual_delivery_date,distance_km,transport_mode,traffic_level,weather_severity,port_congestion,supplier_risk,delayed,delay_hours
1,24,15,2024-05-21,2024-06-18,2024-06-22,2875.68,ship,1,1,0.5994,0.0437,1,86.04
2,25,13,2025-11-13,2025-12-16,2025-12-20,4493.98,ship,1,1,0.6291,0.3294,1,90.66
3,25,16,2025-02-14,2025-03-09,2025-03-13,336.97,truck,4,0,0.8764,0.3294,1,90.59
4,16,9,2023-04-19,2023-05-16,2023-05-19,302.09,truck,2,1,0.5383,0.3266,1,74.91
5,14,6,2023-02-13,2023-03-13,2023-03-14,1079.6,truck,4,0,0.4536,0.2082,1,13.13
6,3,18,2024-01-14,2024-02-11,2024-02-11,1795.96,ship,2,0,0.611,0.2878,0,2.43
7,19,4,2023-07-25,2023-08-10,2023-08-13,418.39,truck,2,3,0.6084,0.2562,1,78.29
8,20,3,2024-09-01,2024-10-02,2024-10-02,1065.45,truck,3,0,0.6543,0.2853,0,2.76
9,40,7,2024-06-06,2024-06-30,2024-06-30,2806.64,air,3,0,0.2701,0.1206,0,2.32
10,4,15,2024-06-23,2024-08-01,2024-08-10,4056.14,truck,1,2,0.6575,0.2301,1,216.26
11,34,9,2023-07-22,2023-08-04,2023-08-04,11424.47,air,5,2,0.7782,0.0399,0,2.22
12,26,3,2023-11-21,2023-12-14,2023-12-15,1287.14,truck,2,2,0.5851,0.1577,1,30.39
13,44,20,2023-11-17,2023-12-02,2023-12-02,2146.45,truck,1,1,0.6155,0.0719,0,1.38
14,14,4,2023-10-25,2023-11-23,2023-11-23,2558.15,truck,1,0,0.6267,0.2082,0,1.23
15,45,11,2025-03-29,2025-04-15,2025-04-15,10289.33,air,5,0,0.3187,0.1051,0,2.07
16,35,10,2024-07-08,2024-08-04,2024-08-04,6175.95,air,3,2,0.3683,0.4038,0,2.76
17,32,6,2025-03-28,2025-04-20,2025-04-21,708.37,truck,1,0,0.7616,0.299,1,16.05
18,12,4,2025-05-17,2025-07-11,2025-07-12,7341.01,ship,3,1,0.5922,0.2771,1,28.06
19,15,2,2024-01-03,2024-02-08,2024-02-08,1685.19,truck,1,0,0.4761,0.1012,0,2.71
20,41,16,2025-03-24,2025-04-10,2025-04-10,405.56,truck,1,0,0.5534,0.5395,0,1.23
21,47,13,2023-02-07,2023-03-08,2023-03-10,1652.34,ship,4,1,0.3708,0.1768,1,43.24
22,50,12,2024-03-10,2024-03-29,2024-03-29,2583.08,air,1,0,0.1878,0.1476,0,2.58
23,45,8,2023-11-30,2023-12-16,2023-12-16,2182.36,air,2,0,0.2929,0.1051,0,2.15
24,9,14,2023-12-12,2023-12-31,2024-01-02,671.44,truck,5,0,0.6324,0.1382,1,57.73
25,48,20,2023-07-01,2023-07-23,2023-07-25,5524.21,air,3,0,0.601,0.5295,1,43.89
26,37,10,2023-12-22,2024-01-26,2024-01-26,1303.82,truck,4,0,0.3585,0.1502,0,1.98
27,32,9,2023-11-17,2023-12-12,2023-12-12,506.93,truck,2,0,0.5401,0.299,0,1.87
28,41,15,2024-09-28,2024-12-09,2024-12-10,20000.0,ship,5,1,0.4265,0.5395,1,25.76
29,37,20,2023-04-08,2023-05-20,2023-05-20,3938.01,ship,2,1,0.5063,0.1502,0,2.05
30,28,16,2023-09-28,2023-10-17,2023-10-17,8124.28,air,3,1,0.5395,0.183,0,3.27
31,20,20,2024-06-29,2024-08-01,2024-08-01,7592.84,air,1,0,0.4674,0.2853,0,2.46
32,26,16,2023-08-18,2023-09-21,2023-09-21,4221.71,ship,1,1,0.3407,0.1577,0,1.2
33,33,19,2024-11-03,2024-11-17,2024-11-17,838.45,truck,1,1,0.4336,0.1674,0,2.65
34,8,20,2023-05-16,2023-06-06,2023-06-06,523.48,truck,4,0,0.5948,0.1094,0,2.91
35,25,7,2024-12-08,2025-01-15,2025-01-19,5572.51,ship,4,1,0.266,0.3294,1,95.07
36,40,10,2024-09-05,2024-09-26,2024-09-26,1361.03,air,2,1,0.4256,0.1206,0,1.68
37,18,5,2023-01-25,2023-02-15,2023-02-15,4312.2,ship,4,0,0.5786,0.0465,0,2.88
38,13,11,2024-11-10,2024-11-25,2024-11-25,710.83,truck,3,0,0.5221,0.1757,0,3.55
39,48,15,2025-07-13,2025-09-03,2025-09-04,11958.83,ship,1,2,0.325,0.5295,1,26.21
40,13,13,2025-03-07,2025-03-20,2025-03-26,668.06,truck,3,2,0.4535,0.1757,1,147.87
41,39,19,2023-02-12,2023-03-08,2023-03-08,10052.05,air,4,1,0.373,0.2906,0,2.54
42,7,7,2023-05-09,2023-05-31,2023-06-02,3125.81,air,5,0,0.3404,0.2727,1,45.02
43,15,20,2024-06-04,2024-07-06,2024-07-06,407.12,truck,3,0,0.5813,0.1012,0,3.17
44,11,12,2023-02-13,2023-03-01,2023-03-01,1378.86,truck,2,0,0.2665,0.163,0,3.95
45,21,3,2024-09-08,2024-09-23,2024-09-23,2167.22,air,2,0,0.6557,0.1211,0,2.26
46,33,1,2024-11-29,2024-12-30,2024-12-31,7158.0,ship,4,0,0.7325,0.1674,1,26.93
