supplier_id,reliability_score,avg_lead_time_days,failure_rate
1,0.7508,21.86,0.01
2,0.6515,9.43,0.493
3,0.7122,23.19,0.228
4,0.7699,30.91,0.1461
5,0.7394,25.23,0.0672
6,0.6537,24.96,0.1079
7,0.7273,20.56,0.1851
8,0.8906,20.83,0.1397
9,0.8618,18.07,0.0282
10,0.665,21.63,0.0805
11,0.837,13.2,0.0678
12,0.7229,30.96,0.01
13,0.8243,14.32,0.0831
14,0.7918,25.22,0.0483
15,0.8988,29.5,0.0375
16,0.6734,25.19,0.4114
17,0.8865,40.15,0.17
18,0.9535,9.62,0.0433
19,0.7438,16.24,0.01
20,0.7147,29.32,0.0134
21,0.8789,12.35,0.1332
22,0.8096,14.46,0.0148
23,0.7719,22.68,0.0269
24,0.9563,19.36,0.0611
25,0.6706,22.19,0.3918
26,0.8423,19.92,0.01
27,0.8821,20.54,0.0343
28,0.817,14.91,0.0437
29,0.777,20.31,0.1127
30,0.6389,16.6,0.0303
31,0.7243,17.35,0.2931
32,0.701,25.09,0.2384
33,0.8326,12.17,0.1261
34,0.9601,8.67,0.0838
35,0.5962,24.44,0.1695
36,0.9832,20.32,0.0221
37,0.8498,29.49,0.1329
38,0.8822,14.58,0.0809
39,0.7094,18.37,0.0324
40,0.8794,19.61,0.0367
41,0.4605,15.49,0.198
42,0.7628,14.0,0.0449
43,0.8834,24.88,0.0324
44,0.9281,11.82,0.01
45,0.8949,13.28,0.1546
46,0.9089,18.17,0.0366
47,0.8232,25.92,0.1306
48,0.4705,15.82,0.4624
49,0.9164,15.17,0.0571
50,0.8524,17.81,0.122
