date,location,weather_severity,precipitation,wind_speed,storm_flag
2023-01-01,Shanghai,0,4.88,1.52,0
2023-01-02,Shanghai,0,5.77,3.07,0
2023-01-03,Shanghai,0,1.77,1.51,0
2023-01-04,Shanghai,0,5.74,6.69,0
2023-01-05,Shanghai,0,9.91,36.58,0
2023-01-06,Shanghai,0,1.54,8.82,0
2023-01-07,Shanghai,0,13.46,7.87,0
2023-01-08,Shanghai,0,0.55,8.19,0
2023-01-09,Shanghai,0,2.44,2.48,0
2023-01-10,Shanghai,1,1.39,11.08,0
2023-01-11,Shanghai,0,0.43,2.29,0
2023-01-12,Shanghai,0,18.39,10.94,0
2023-01-13,Shanghai,0,1.59,18.51,0
2023-01-14,Shanghai,0,3.6,2.48,0
2023-01-15,Shanghai,0,4.91,27.31,0
2023-01-16,Shanghai,0,0.7,22.2,0
2023-01-17,Shanghai,0,1.72,0.02,0
2023-01-18,Shanghai,0,1.63,4.48,0
2023-01-19,Shanghai,0,1.86,2.15,0
2023-01-20,Shanghai,0,3.3,1.7,0
2023-01-21,Shanghai,0,2.03,17.62,0
2023-01-22,Shanghai,0,8.43,12.57,0
2023-01-23,Shanghai,0,3.61,6.62,0
2023-01-24,Shanghai,0,2.61,16.3,0
2023-01-25,Shanghai,0,1.3,14.5,0
2023-01-26,Shanghai,0,7.18,0.95,0
2023-01-27,Shanghai,0,2.43,0.83,0
2023-01-28,Shanghai,0,2.46,14.21,0
2023-01-29,Shanghai,0,16.65,1.02,0
2023-01-30,Shanghai,0,0.3,18.87,0
2023-01-31,Shanghai,0,2.62,10.35,0
2023-02-01,Shanghai,0,4.62,12.78,0
2023-02-02,Shanghai,0,6.9,5.33,0
2023-02-03,Shanghai,0,6.61,3.12,0
2023-02-04,Shanghai,0,1.62,4.08,0
2023-02-05,Shanghai,0,0.04,1.26,0
2023-02-06,Shanghai,0,5.53,4.27,0
2023-02-07,Shanghai,1,6.83,19.56,0
2023-02-08,Shanghai,0,0.46,20.67,0
2023-02-09,Shanghai,0,3.54,0.64,0
2023-02-10,Shanghai,0,1.03,19.75,0
2023-02-11,Shanghai,0,0.61,30.51,0
2023-02-12,Shanghai,0,4.27,26.3,0
2023-02-13,Shanghai,0,5.61,7.91,0
2023-02-14,Shanghai,0,4.84,19.69,0
2023-02-15,Shanghai,0,1.84,14.35,0
2023-02-16,Shanghai,0,4.63,7.6,0
2023-02-17,Shanghai,0,3.05,8.34,0
2023-02-18,Shanghai,0,3.6,1.77,0
2023-02-19,Shanghai,0,6.37,17.31,0
2023-02-20,Shanghai,0,4.52,0.8,0
2023-02-21,Shanghai,0,4.98,11.51,0
2023-02-22,Shanghai,0,8.21,38.73,0
2023-02-23,Shanghai,0,2.31,14.26,0
2023-02-24,Shanghai,0,3.71,8.08,0
2023-02-25,Shanghai,0,5.18,4.76,0
2023-02-26,Shanghai,0,8.9,18.88,0
2023-02-27,Shanghai,0,1.48,0.95,0
2023-02-28,Shanghai,0,7.34,6.76,0
2023-03-01,Shanghai,0,1.61,14.91,0
2023-03-02,Shanghai,0,1.99,4.09,0
